Datetime,kwh
03-02-2020 08:00,0.169
03-02-2020 09:00,0.1589
03-02-2020 10:00,0.1838
03-02-2020 11:00,0.1853
03-02-2020 12:00,0.6096
03-02-2020 13:00,0.1398
03-02-2020 14:00,0.2674
03-02-2020 15:00,0.2498
03-02-2020 16:00,0.2615
03-02-2020 17:00,0.3072
03-02-2020 18:00,0.2805
03-02-2020 19:00,0.3048
03-02-2020 20:00,0.3738
03-02-2020 21:00,0.234
03-02-2020 22:00,0.2046
03-02-2020 23:00,0.1019
04-02-2020 00:00,0.1138
04-02-2020 01:00,0.1191
04-02-2020 02:00,0.1233
04-02-2020 03:00,0.1181
04-02-2020 04:00,0.137
04-02-2020 05:00,0.1336
04-02-2020 06:00,0.1858
04-02-2020 07:00,0.132
04-02-2020 08:00,0.135
04-02-2020 09:00,0.1422
04-02-2020 10:00,0.1685
04-02-2020 11:00,0.1401
04-02-2020 12:00,0.5269
04-02-2020 13:00,0.1764
04-02-2020 14:00,0.1306
04-02-2020 15:00,0.1786
04-02-2020 16:00,0.1798
04-02-2020 17:00,0.2452
04-02-2020 18:00,0.2871
04-02-2020 19:00,0.3042
04-02-2020 20:00,0.4076
04-02-2020 21:00,0.3558
04-02-2020 22:00,0.1898
04-02-2020 23:00,0.0935
05-02-2020 00:00,0.0963
05-02-2020 01:00,0.0815
05-02-2020 02:00,0.0988
05-02-2020 03:00,0.0976
05-02-2020 04:00,0.0461
05-02-2020 05:00,0.0742
05-02-2020 06:00,0.065
05-02-2020 07:00,0.162
05-02-2020 08:00,0.2698
05-02-2020 09:00,0.3242
05-02-2020 10:00,0.1764
05-02-2020 11:00,0.1806
05-02-2020 12:00,0.2502
05-02-2020 13:00,0.435
05-02-2020 14:00,0.1561
05-02-2020 15:00,0.2753
05-02-2020 16:00,0.2694
05-02-2020 17:00,0.313
05-02-2020 18:00,0.3156
05-02-2020 19:00,0.4154
05-02-2020 20:00,0.4642
05-02-2020 21:00,0.3178
05-02-2020 22:00,0.2213
05-02-2020 23:00,0.1011
06-02-2020 00:00,0.1095
06-02-2020 01:00,0.0796
06-02-2020 02:00,0.0889
06-02-2020 03:00,0.0092
06-02-2020 04:00,0.0814
06-02-2020 05:00,0.0891
06-02-2020 06:00,0.1059
06-02-2020 07:00,0.0749
06-02-2020 08:00,0.2167
06-02-2020 09:00,0.1821
06-02-2020 10:00,0.1504
06-02-2020 11:00,0.1852
06-02-2020 12:00,0.1637
06-02-2020 13:00,0.1128
06-02-2020 14:00,0.1111
06-02-2020 15:00,0.5114
06-02-2020 16:00,0.2252
06-02-2020 17:00,0.2949
06-02-2020 18:00,0.3891
06-02-2020 19:00,0.6145
06-02-2020 20:00,0.3352
06-02-2020 21:00,0.3243
06-02-2020 22:00,0.3256
06-02-2020 23:00,0.6404
07-02-2020 00:00,0.0641
07-02-2020 01:00,0.0531
07-02-2020 02:00,0.0692
07-02-2020 03:00,0.0673
07-02-2020 04:00,0.0745
07-02-2020 05:00,0.0363
07-02-2020 06:00,0.1146
07-02-2020 07:00,0.1311
07-02-2020 08:00,0.1318
07-02-2020 09:00,0.1618
07-02-2020 10:00,0.1376
07-02-2020 11:00,0.1904
07-02-2020 12:00,0.0956
07-02-2020 13:00,0.0961
07-02-2020 14:00,0.1963
07-02-2020 15:00,0.2445
07-02-2020 16:00,0.2378
07-02-2020 17:00,0.26
07-02-2020 18:00,0.267
07-02-2020 19:00,0.2828
07-02-2020 20:00,0.2916
07-02-2020 21:00,0.286
07-02-2020 22:00,0.2737
07-02-2020 23:00,0.0592
08-02-2020 00:00,0.0589
08-02-2020 01:00,0.0741
08-02-2020 02:00,0.0666
08-02-2020 03:00,0.0439
08-02-2020 04:00,0.0751
08-02-2020 05:00,0.0567
08-02-2020 06:00,0.0604
08-02-2020 07:00,0.1277
08-02-2020 08:00,0.1285
08-02-2020 09:00,0.2092
08-02-2020 10:00,0.1713
08-02-2020 11:00,0.1348
08-02-2020 12:00,0.1352
08-02-2020 13:00,0.1879
08-02-2020 14:00,0.1125
08-02-2020 15:00,0.1689
08-02-2020 16:00,0.2126
08-02-2020 17:00,0.2439
08-02-2020 18:00,0.382
08-02-2020 19:00,0.4944
08-02-2020 20:00,0.3046
08-02-2020 21:00,0.3509
08-02-2020 22:00,0.5189
08-02-2020 23:00,0.122
09-02-2020 00:00,0.0735
09-02-2020 01:00,0.0605
09-02-2020 02:00,0.0688
09-02-2020 03:00,0.075
09-02-2020 04:00,0.0362
09-02-2020 05:00,0.0762
09-02-2020 06:00,0.1503
09-02-2020 07:00,0.0848
09-02-2020 08:00,0.1145
09-02-2020 09:00,0.0997
09-02-2020 10:00,0.2066
09-02-2020 11:00,0.1492
09-02-2020 12:00,0.1091
09-02-2020 13:00,0.0819
09-02-2020 14:00,0.0946
09-02-2020 15:00,0.1083
09-02-2020 16:00,0.1078
09-02-2020 17:00,0.2032
09-02-2020 18:00,0.2483
09-02-2020 19:00,0.7783
09-02-2020 20:00,0.2483
09-02-2020 21:00,0.2766
09-02-2020 22:00,0.1302
09-02-2020 23:00,0.0991
10-02-2020 00:00,0.0756
10-02-2020 01:00,0.1111
10-02-2020 02:00,0.0982
10-02-2020 03:00,0.0737
10-02-2020 04:00,0.1002
10-02-2020 05:00,0.0918
10-02-2020 06:00,0.1544
10-02-2020 07:00,0.1529
10-02-2020 08:00,0.1021
10-02-2020 09:00,0.149
10-02-2020 10:00,0.1959
10-02-2020 11:00,0.2049
10-02-2020 12:00,0.2381
10-02-2020 13:00,0.1976
10-02-2020 14:00,0.1787
10-02-2020 15:00,0.1358
10-02-2020 16:00,0.22
10-02-2020 17:00,0.2259
10-02-2020 18:00,0.2223
10-02-2020 19:00,0.2343
10-02-2020 20:00,0.2621
10-02-2020 21:00,0.2529
10-02-2020 22:00,0.0903
10-02-2020 23:00,0.0856
11-02-2020 00:00,0.0933
11-02-2020 01:00,0.1095
11-02-2020 02:00,0.072
11-02-2020 03:00,0.098
11-02-2020 04:00,0.099
11-02-2020 05:00,0.0767
11-02-2020 06:00,0.174
11-02-2020 07:00,0.2049
11-02-2020 08:00,0.1193
11-02-2020 09:00,0.154
11-02-2020 10:00,0.1692
11-02-2020 11:00,0.1848
11-02-2020 12:00,0.4122
11-02-2020 13:00,0.1104
11-02-2020 14:00,0.1031
11-02-2020 15:00,0.1973
11-02-2020 16:00,0.2169
11-02-2020 17:00,0.258
11-02-2020 18:00,0.1351
11-02-2020 19:00,0.2206
11-02-2020 20:00,0.2078
11-02-2020 21:00,0.2422
11-02-2020 22:00,0.1358
11-02-2020 23:00,0.0728
12-02-2020 00:00,0.0558
12-02-2020 01:00,0.0675
12-02-2020 02:00,0.0616
12-02-2020 03:00,0.0661
12-02-2020 04:00,0.0461
12-02-2020 05:00,0.0624
12-02-2020 06:00,0.1059
12-02-2020 07:00,0.1341
12-02-2020 08:00,0.3335
12-02-2020 09:00,0.079
12-02-2020 10:00,0.102
12-02-2020 11:00,0.2675
12-02-2020 12:00,0.7162
12-02-2020 13:00,0.2379
12-02-2020 14:00,0.0919
12-02-2020 15:00,0.147
12-02-2020 16:00,0.1791
12-02-2020 17:00,0.2482
12-02-2020 18:00,0.1997
12-02-2020 19:00,0.3427
12-02-2020 20:00,0.3759
12-02-2020 21:00,0.2699
12-02-2020 22:00,0.2699
12-02-2020 23:00,0.1196
13-02-2020 00:00,0.0981
13-02-2020 01:00,0.102
13-02-2020 02:00,0.0957
13-02-2020 03:00,0.1005
13-02-2020 04:00,0.0814
13-02-2020 05:00,0.0891
13-02-2020 06:00,0.1059
13-02-2020 07:00,0.162
13-02-2020 08:00,0.3675
13-02-2020 09:00,0.2118
13-02-2020 10:00,0.1282
13-02-2020 11:00,0.1205
13-02-2020 12:00,0.2266
13-02-2020 13:00,0.1027
13-02-2020 14:00,0.1112
13-02-2020 15:00,0.1233
13-02-2020 16:00,0.2442
13-02-2020 17:00,0.3025
